latitude,longitude,message
45.283,9.2133,My grandparents are buried here
45.2829,9.2131,I got water to water the flowers on my grandparents cave
45.2827,9.2133,I biked here frequently
45.2826,9.2131,I hit the fence while learning how to bike
45.2825,9.2127,I bought strawberries
45.2825,9.21211,I witnessed the construction of this complex
45.2825,9.2121,There used to be an old lady's white house here
45.2825,9.2125,I went to get my nails done
45.2825,9.2124,I ordered a white pizza that smelled like smoke
45.2825,9.213,I learned how to bike for the first time
45.2825,9.2129,I bought candy after school
45.2824,9.2127,I listened to live music while drinking beer with my best friend
45.2824,9.2122,I had my 18th birthday party and someone called the cops
45.2823,9.21221,I said goodbye to someone I loved
45.2823,9.21222,Last glimpse I got of my house in the moonlight before I left for college
45.2823,9.21223,I waited for my first date
45.2823,9.21234,I made the second snowman of the day
45.2823,9.2121,I made the first snowman of the day
45.2823,9.2122,I played soccer with my neighbor before leaving for college
45.2823,9.2121,I played with my dogs
45.2823,9.2124,I saw a cat the night before I left for college
45.2823,9.2111,I witnessed a gorgeous sunset after a heavy snowfall
45.2823,9.2121,I found out I got into Tufts
45.2823,9.2123,I watched as someone planted daisies
45.2823,9.2125,I loved getting cash for my mom at the ATM
45.2822,9.21241,I bought pastries with my two best friends
45.2822,9.21242,I had an argument over using cash or card
45.2822,9.2111,I learned how to skateboard
45.282,9.2131,I made a snow mound to slide off of
45.2817,9.2101,I was attacked by a swarm of bees on my bike
45.2816,9.2059,I was stopped by the police during a manhunt
45.2814,9.2129,I found out we were buying a new dog
45.2814,9.2132,I fell in love on a snowy day
45.2813,9.213,I picked up a stone for my first confession
45.2813,9.2132,I skipped through these fields with my best friend
45.2813,9.2036,I stop here to look at the cows every time
45.2812,9.213,I went to church with my dad
45.2812,9.2112,I cried because of a breakup
45.2808,9.215,I saw a family of black foxes
45.2806,9.2148,I snuck into this abandoned reserve
